# k/h          CDM          Baryons      Total
2.424837e+00 2.947047e+02 2.104694e+02 2.818354e+02
3.018551e+00 2.022998e+02 1.444808e+02 1.934663e+02
3.757634e+00 1.384241e+02 9.886340e+01 1.323801e+02
4.677679e+00 9.443996e+01 6.745054e+01 9.031658e+01
5.822994e+00 6.425908e+01 4.589496e+01 6.145345e+01
7.248736e+00 4.361592e+01 3.115087e+01 4.171154e+01
9.023566e+00 2.953735e+01 2.109513e+01 2.824756e+01
1.123296e+01 1.996138e+01 1.425520e+01 1.908960e+01
1.398331e+01 1.346390e+01 9.614038e+00 1.287573e+01
1.740709e+01 9.065144e+00 6.471884e+00 8.668952e+00
2.166916e+01 6.093361e+00 4.348973e+00 5.826857e+00
2.697478e+01 4.089476e+00 2.917416e+00 3.910411e+00
3.357948e+01 2.740637e+00 1.953755e+00 2.620419e+00
4.180130e+01 1.834208e+00 1.306113e+00 1.753527e+00
5.203622e+01 1.226011e+00 8.715042e-01 1.171850e+00
6.477714e+01 8.185006e-01 5.802550e-01 7.821019e-01
8.063761e+01 5.458188e-01 3.853229e-01 5.212986e-01
1.003815e+02 3.635822e-01 2.550065e-01 3.469942e-01
1.249596e+02 2.419321e-01 1.679808e-01 2.306340e-01
1.555555e+02 1.608143e-01 1.099263e-01 1.530397e-01
